@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.	kindle2	positive
Reading my kindle2...  Love it... Lee childs is good read.	kindle2	positive
Ok, first assesment of the #kindle2 ...it fucking rocks!!!	kindle2	positive
@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)	kindle2	positive
@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)	kindle2	positive
@richardebaker no. it is too big. I'm quite happy with the Kindle2.	kindle2	positive
Fuck this economy. I hate aig and their non loan given asses.	aig	negative
Jquery is my new best friend.	jquery	positive
Loves twitter	twitter	positive
how can you not love Obama? he makes jokes about himself.	obama	positive
Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM	obama	neutral
@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism	obama	negative
House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation	obama	positive
Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!	nike	positive
dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x	nike	negative
#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2	lebron	positive
I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.	lebron	negative
i love lebron. http://bit.ly/PdHur	lebron	positive
@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.	lebron	negative
@Pmillzz lebron IS THE BOSS	lebron	positive
@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol	lebron	positive
lebron and zydrunas are such an awesome duo	lebron	positive
@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.	lebron	positive
downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.	iphone app	positive
good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!	visa	positive
http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)	fredwilson	positive
In montreal for a long weekend of R&amp;R. Much needed.	fredwilson	positive
Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv	"booz allen"	positive
[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP	"booz allen"	positive
@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.	40d	positive
need suggestions for a good IR filter for my canon 40D ... got some? pls DM	40d	neutral
@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv	google	neutral
@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.	google	positive
Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.	google	negative
US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders	aig	negative
omg so bored &amp; my tattoooos are so itchy!!  help! aha =)	itchy	negative
I'm itchy and miserable!	itchy	negative
@sekseemess no. I'm not itchy for now. Maybe later, lol.	itchy	negative
RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR	stanford	positive
@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.	lyx	positive
I'm listening to "P.Y.T" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)	Danny Gokey	positive
is going to sleep then on a bike ride:]	sleep	positive
cant sleep... my tooth is aching.	sleep	negative
Blah, blah, blah same old same old. No plans today, going back to sleep I guess.	sleep	negative
glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf	san francisco	negative
is in San Francisco at Bay to Breakers.	san francisco	neutral
just landed at San Francisco	san francisco	neutral
San Francisco today.  Any suggestions?	san francisco	neutral
?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg	aig	negative
started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?	aig	negative
ShaunWoo hate'n on AiG	aig	negative
@YarnThing you will not regret going to see Star Trek. It was AWESOME!	star trek	positive
On my way to see Star Trek @ The Esquire.	star trek	neutral
Going to see star trek soon with my dad.	star trek	neutral
annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.	Malcolm Gladwell	negative
Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50	Malcolm Gladwell	neutral
Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell	Malcolm Gladwell	positive
Blink by malcolm gladwell amazing book and The tipping point!	Malcolm Gladwell	positive
Malcolm Gladwell might be my new man crush	Malcolm Gladwell	positive
omg. The commercials alone on ESPN are going to drive me nuts.	espn	negative
@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.	"twitter api"	positive
playing with cURL and the Twitter API	"twitter api"	neutral
Hello Twitter API ;)	"twitter api"	positive
playing with Java and the Twitter API	"twitter api"	neutral
@morind45 Because the twitter api is slow and most client's aren't good.	"twitter api"	negative
yahoo answers can be a butt sometimes	yahoo	negative
is scrapbooking with Nic =D	scrapbooking	positive
RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR	wolfram alpha	positive
just changed my default pic to a Nike basketball cause bball is awesome!!!!!	nike	positive
Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding	nike	neutral
'Next time, I'll call myself Nike'	nike	neutral
New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT	nike	neutral
RT @SmartChickPDX: Was just told that Nike layoffs started today :-(	nike	negative
Back when I worked for Nike we had one fav word : JUST DO IT! :)	nike	positive
By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9	nike	positive
